id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
351,1966,44,Inglaterra,1302,Roger Hunt,3,6,0.5
352,1966,65,Portugal,3255,Jose Augusto,3,6,0.5
353,1966,,URSS,350,Eduard Malofeyev,3,5,0.6
354,1966,65,Portugal,3322,Jose Torres,3,6,0.5
355,1966,,URSS,275,Igor Chislenko,2,4,0.5
356,1966,17,Chile,700,Ruben Marcos,2,3,0.67
357,1966,42,Hungría,7571,Kalman Meszoly,2,4,0.5
358,1966,20,Corea del Norte,8000,Seung Zin Pak,2,4,0.5
359,1966,,Alemania Occidental,6281,Uwe Seeler,2,6,0.33
360,1966,34,España,4858,Amancio,1,2,0.5
361,1966,12,Bulgaria,2915,Georgi Asparukhov,1,3,0.33
362,1966,,URSS,255,Anatoli Banishevski,1,5,0.2
363,1966,51,Italia,5538,Paolo Barison,1,2,0.5
364,1966,56,México,7664,Enrique Borja,1,3,0.33
365,1966,80,Uruguay,5847,Julio Cortes,1,4,0.25
366,1966,36,Francia,3886,Hector De Bourgoing,1,1,1.0
367,1966,,Alemania Occidental,6088,Lothar Emmerich,1,4,0.25
368,1966,42,Hungría,7520,Janos Farkas,1,4,0.25
369,1966,34,España,4923,Jose Maria Fuste,1,1,1.0
370,1966,11,Brasil,1637,Garrincha,1,2,0.5
371,1966,36,Francia,3935,Gerard Hausser,1,3,0.33
372,1966,,Alemania Occidental,6128,Sigi Held,1,6,0.17
373,1966,20,Corea del Norte,7991,Dong Woon Li,1,2,0.5
374,1966,51,Italia,5688,Sandro Mazzola,1,3,0.33
375,1966,6,Argentina,5334,Ermindo Onega,1,4,0.25
376,1966,20,Corea del Norte,7997,Doo Ik Pak,1,4,0.25
377,1966,11,Brasil,1759,Pelé,1,2,0.5
378,1966,44,Inglaterra,1365,Martin Peters,1,5,0.2
379,1966,34,España,5023,Pirri,1,2,0.5
380,1966,74,Suiza,8170,Rene Quentin,1,2,0.5
381,1966,11,Brasil,1780,Rildo,1,1,1.0
382,1966,80,Uruguay,5976,Pedro Rocha,1,4,0.25
383,1966,34,España,5057,Manuel Sanchis,1,3,0.33
384,1966,65,Portugal,3318,Simoes,1,6,0.17
385,1966,11,Brasil,1816,Tostao,1,1,1.0
386,1966,,Alemania Occidental,6313,Wolfgang Weber,1,6,0.17
387,1966,20,Corea del Norte,8009,Seung Kook Yang,1,2,0.5
388,1970,,Alemania Occidental,6223,Gerd Mueller,10,6,1.67
389,1970,11,Brasil,1663,Jairzinho,7,6,1.17
390,1970,63,Perú,2147,Teofilo Cubillas,5,4,1.25
391,1970,,URSS,262,Anatoly Bishovets,4,4,1.0
392,1970,11,Brasil,1759,Pelé,4,6,0.67
393,1970,51,Italia,5746,Gigi Riva,3,6,0.5
394,1970,11,Brasil,1782,Rivelino,3,5,0.6
395,1970,,Alemania Occidental,6281,Uwe Seeler,3,6,0.5
396,1970,51,Italia,5553,Roberto Boninsegna,2,6,0.33
